Created On	Questioner Id	Quotes Id	Updated On	Pqid	Pqid Type
Jan	cd87308f-3519-4f3f-ac71-1a88b9c84677	c76cdd0d-4eea-406a-81c8-5d7b06793890	Jan  3 2018  6:52PM		New
Jan	e7c4e78c-f128-4ca3-9854-e22ca74ddce8	28929f6d-2b26-4f9b-ab9a-97b721b0bc83	Jan  3 2018  6:53PM		New
Jan	34268fed-c5e1-4b99-ab40-b794e6d457e0	50385723-f9d1-4861-b9fd-10fcd80935c4	Jan  3 2018  7:19PM		New
Jan	3b1a7e52-e018-4d64-b196-7f77965e9ac1	be47950d-ac1d-415b-9a88-6e334eafebae	Jan  3 2018  7:54PM		New
Jan	2397bec7-598a-4bf6-b3db-ff91a2a2ea60	d396f162-a4ee-440a-9e62-0427c7c06ad4	Jan  3 2018  7:21PM		New
Jan	2397bec7-598a-4bf6-b3db-ff91a2a2ea60	ee721e4f-4444-47e6-ac7e-5f2c7e17f0b5	Jan  3 2018 10:35PM		New
Jan	cdb318f2-d724-4aab-a14e-aac8ee3c94d1	0383e0ec-0686-4015-aa43-b6be9f0b88dc	Jan  3 2018  7:54PM		New
Jan	5375ba18-99a4-45f9-98d0-02c85ad3e6b3	589928e8-5b09-4d26-836e-65a7d47cca73	Jan  3 2018  7:54PM		New
Jan	99d6baec-ed30-4864-8d64-141ae8a45084	142f655d-316d-48a5-a654-1e6d680c2e40	Jan  3 2018  7:37PM		New
Jan	035bf22b-2af1-4a30-96d1-f55e937823a9	b1a14c54-b3b7-484d-9566-077ae871fda8	Jan  3 2018  8:54PM		New
Jan	035bf22b-2af1-4a30-96d1-f55e937823a9	8d4dd6b9-0b36-406d-bcc2-ec966657e52a	Jan  3 2018  8:09PM		New
Jan	e2b31428-a1b0-4c08-b19d-3005076b35a9	7530e418-17c0-4560-8cba-44dc6ea75a47	Jan  3 2018  8:54PM		New
Jan	7ebd5d11-cd64-4fb4-88d2-2eab48f9ab87	46da1941-d51d-4988-b02e-94bd35ac568d	Jan  3 2018  8:54PM		New
Jan	f16438d1-bb39-45be-8c66-965b8b6d9706	733a717f-79ac-48f7-a0d0-c8da181854f0	Jan  3 2018  9:24PM		New
Jan	4cf99243-2b89-4fc1-bc62-ab5a57428960	517505c3-7e9f-4803-a0e7-23f6772845e8	Jan  3 2018  8:59PM		New
Jan	3386067d-cf04-4eac-8815-f75921c42a5e	875a0271-bd6c-413e-b602-6693ec46e876	Jan  3 2018  9:54PM		New
Jan	c2bdefc4-2413-4d5d-873f-85aa67e4530e	b72adf59-9caf-43de-be23-c056158226d7	Jan  3 2018  9:58PM		New
Jan	31e3a0b1-82ef-4b6b-aaed-ef1e24f02899	2f892ad1-95cc-4dd5-a805-580f59f607e2	Jan  3 2018 10:20PM		New
Jan	0a945bcc-fbe2-41c5-80be-e592732378e4	86a95f3d-6edc-400a-bed6-61767147d2e1	Jan  3 2018 10:54PM		New
Jan	0ad5c249-5aed-4f7c-9128-26d73c38706d	ba69674f-1e63-48bd-8053-48c5993be64c	Jan  3 2018 11:24PM		New
Jan	cfa7de2a-bcfa-45df-b74f-f31bb5ee7fa1	6a3e77fd-7507-4ba5-8c01-29d7a00db6e8	Jan  4 2018 12:54AM		New
Jan	a3a0ed11-59e8-40d8-9108-883a0c944f8c	60d0b2ff-def1-4206-8067-1292fe13e15f	Jan  4 2018  1:54AM		New
Jan	09f8fa2c-339c-4d97-b90c-b4b378db9677	dcd492ed-b5cb-473b-a002-1c56b9bfc33c	Jan  4 2018  1:42AM		New
Jan	dac57342-a8cd-4f42-9e42-ca7a91d4b65b	618b4b7a-db9f-42ef-970e-e5399a86f9ad	Jan  4 2018  2:09AM		New
Jan	112cd158-a81f-47cb-b691-d68ad7d54f9b	9261aa3d-5de1-4698-93bd-fe2a06e9565a	Jan  4 2018  2:16AM		New
Jan	d74e09d7-bced-4123-ad51-31ab6537039a	f51d5646-2f2c-4ea2-92f4-39cea192ae03	Jan  4 2018  2:30AM		New
Jan	f21630f4-9dca-4fa6-ba91-0523bd432b55	c98b687e-c83b-4442-9a70-b5fa27eef078	Jan  4 2018  2:54AM		New
Jan	fda177ad-a532-4e0a-8b60-dd3fb00c62fc	8422a6df-34be-4e8b-9fc4-569135fa0692	Jan  4 2018  2:24AM		New
Jan	fda177ad-a532-4e0a-8b60-dd3fb00c62fc	27facb5b-4455-48fc-95ec-52d6072e69b6	Jan  4 2018  2:54AM		New
Jan	4f7e3ac9-cd39-4b8d-ba66-2a7dab798e20	b107cf8f-d692-41d6-b306-bde635d45684	Jan  4 2018  2:35AM		New
Jan	cf009212-0ea4-4e96-9796-49442fdf4e27	0d603c18-58bb-4262-b0b8-117534e14a86	Jan  4 2018  2:59AM		New
Jan	886a1c4a-2dcb-4d7c-b9f9-0cdcad192a9c	1984f843-515c-4cf3-bcde-852ea10468a4	Jan  4 2018  3:54AM		New
Jan	82d88b34-ce34-4d7b-a192-6c190632c66a	ab32976b-2c73-4d8b-a9eb-b9fd98605157	Jan  4 2018  4:24AM		New
Jan	4ba8524a-fef5-4eb0-be1d-5c30ba287068	d2ac0447-e102-4f1e-8046-65be6259bd9f	Jan  4 2018  5:06AM		New
Jan	0dee1bf7-28ca-4a15-99d3-8bc40d380620	9a5929ca-c60c-41cd-87d3-a84f369e32f2	Jan  4 2018  5:54AM		New
Jan	7a7bfcc0-db75-400d-9356-25e899a741d1	c2ed6df7-2451-4a60-bc10-a5d6c79dc9bd	Jan  4 2018  6:24AM		New
Jan	9d837aa9-a747-48f0-b503-175f7ca09238	759c80e6-5326-48f7-9088-634e98170a07	Jan  4 2018  7:35AM		New
Jan	9d837aa9-a747-48f0-b503-175f7ca09238	b9e95bab-5f4f-4faf-bbd6-4d32c70bc4be	Jan  4 2018  7:36AM		New
Jan	141dcce3-4b68-4361-ba1b-fec0104dce7a	760ddfa1-6623-4f6e-a55e-ddaa8c39d7d4	Jan  4 2018  8:54AM		New
Jan	141dcce3-4b68-4361-ba1b-fec0104dce7a	d1e9666f-efe7-436f-9e7f-a5ab8eccc291	Jan  4 2018  8:26AM		New
Jan	50c40b46-ba9f-4c45-aa40-105787469528	cd34d6bb-cb0b-4f8f-a4e0-6bec7a6f4a91	Jan  4 2018 12:54PM		New
Jan	aba446b9-b713-4295-89ea-37f6d1c1cfec	ecd3e5f1-5371-4b9c-9fbc-cacf0d85d744	Jan  4 2018  2:08PM		New
Jan	4f6b61d7-f22f-4c5d-b1e0-e97ed3fee23d	090ea961-46b5-491a-88bd-ea103e4c1e2c	Jan  4 2018  6:05PM		New
Jan	4f6b61d7-f22f-4c5d-b1e0-e97ed3fee23d	a3472e6b-a0b9-418d-bf92-4f9b191e2df6	Jan  4 2018  3:04PM		New
Jan	337eb02b-6613-45a6-afc1-4e9e28c0e3dc	5c98e6fc-9568-4004-b2ce-1004bc6cce10	Jan  4 2018  3:54PM		New
Jan	199bc9c1-9471-43df-b983-bc417a9e367f	84a441f4-1e68-47db-84b8-4dfd8a207211	Jan  4 2018  3:54PM		New
Jan	d61458db-5778-44ae-a9d4-3304356c531d	ccc8244e-a83b-4eb2-bce1-455b4e675bcf	Jan  4 2018  5:07PM		New
Jan	11880e72-6f81-4b1a-90a8-cc1bfc05c5ea	01677c7c-0d6f-4588-b466-fd493cd8e365	Jan  4 2018  5:54PM		New
Jan	6a48f94c-11ca-42dd-9848-f441264053b9	e7e414e2-4f15-4344-860d-fe74e67c254e	Jan  4 2018  5:27PM		New
Jan	6a48f94c-11ca-42dd-9848-f441264053b9	e81c2507-5df2-4dd1-a741-e1033641a1dc	Jan  4 2018  5:41PM		New
Jan	b915ad2c-89f8-44fc-a0ec-ad2f0f5095fb	2cffc9f8-4bc7-475c-a257-4f18890ca109	Jan  4 2018  5:21PM		New
Jan	5efdd716-8864-4497-a392-526ea407772e	d19d0b6c-d9c3-4bf1-9bc1-4fdca3b7ca6b	Jan  4 2018  6:54PM		New
Jan	5efdd716-8864-4497-a392-526ea407772e	da196392-618d-4b83-8ef0-44f67005a251	Jan  4 2018  6:19PM		New
Jan	f17ffeef-f095-4a16-9d13-a3d7c1062005	f8626ed6-6b52-4398-b0e3-821c3337a734	Jan  4 2018  6:54PM		New
Jan	9a30dd41-de17-437d-8227-f19a0f651ebe	378e9f27-c2da-46cc-92f2-b0fb6ad09fa6	Jan  4 2018  6:38PM		New
Jan	b8c89dfa-56a3-4c23-8b65-0c081bcc9259	59d5f247-726a-45d3-bb3e-747e436cf57f	Jan  4 2018  6:47PM		New
Jan	dcd23d18-5a99-4572-a3c6-100f958de541	ce23601d-9399-4913-a039-de4c29f3baba	Jan  4 2018  6:49PM		New
